codigo_ibge,uf,municipio,horas,minutos
1200013,AC,ACRELÂNDIA,11,28
1200054,AC,ASSIS BRASIL,11,28
1200104,AC,BRASILÉIA,11,28
1200138,AC,BUJARI,11,28
1200179,AC,CAPIXABA,11,28
1200203,AC,CRUZEIRO DO SUL,11,29
1200252,AC,EPITACIOLÂNDIA,11,28
1200302,AC,FEIJÓ,11,29
1200328,AC,JORDÃO,11,28
1200344,AC,MANOEL URBANO,11,28
1200351,AC,MARECHAL THAUMATURGO,11,28
1200336,AC,MÂNCIO LIMA,11,29
1200385,AC,PLÁCIDO DE CASTRO,11,28
1200807,AC,PORTO ACRE,11,28
1200393,AC,PORTO WALTER,11,29
1200401,AC,RIO BRANCO,11,28
1200427,AC,RODRIGUES ALVES,11,29
1200435,AC,SANTA ROSA DO PURUS,11,28
1200500,AC,SENA MADUREIRA,11,28
1200450,AC,SENADOR GUIOMARD,11,28
1200609,AC,TARAUACÁ,11,29
1200708,AC,XAPURI,11,28
2700201,AL,ANADIA,11,28
2700300,AL,ARAPIRACA,11,28
2700409,AL,ATALAIA,11,28
2700508,AL,BARRA DE SANTO ANTÔNIO,11,28
2700607,AL,BARRA DE SÃO MIGUEL,11,28
2700706,AL,BATALHA,11,28
2700904,AL,BELO MONTE,11,28
2700805,AL,BELÉM,11,28
2701001,AL,BOCA DA MATA,11,28
2701100,AL,BRANQUINHA,11,28
2701209,AL,CACIMBINHAS,11,28
2701308,AL,CAJUEIRO,11,28
2701357,AL,CAMPESTRE,11,28
2701407,AL,CAMPO ALEGRE,11,28
2701506,AL,CAMPO GRANDE,11,28
2701605,AL,CANAPI,11,28
2701704,AL,CAPELA,11,28
2701803,AL,CARNEIROS,11,28
2701902,AL,CHÃ PRETA,11,28
2702009,AL,COITÉ DO NÓIA,11,28
2702108,AL,COLÔNIA LEOPOLDINA,11,28
2702207,AL,COQUEIRO SECO,11,28
2702306,AL,CORURIPE,11,28
2702355,AL,CRAÍBAS,11,28
2702405,AL,DELMIRO GOUVEIA,11,28
2702504,AL,DOIS RIACHOS,11,28
2702553,AL,ESTRELA DE ALAGOAS,11,28
2702603,AL,FEIRA GRANDE,11,28
2702702,AL,FELIZ DESERTO,11,28
2702801,AL,FLEXEIRAS,11,28
2702900,AL,GIRAU DO PONCIANO,11,28
2703007,AL,IBATEGUARA,11,28
2703106,AL,IGACI,11,28
2703205,AL,IGREJA NOVA,11,28
