Faixas de Rodagem,Largura Via 1,Largura Via 2,Largura Passeio 1,largura Passeio 2,largura Canteiro Central,altura da luminaria,projecao do braço,distancia entre postes,distancia Poste a via,Altura de Instalação,Classificação viária,Tipo de estrutura,posteacao,Braço Novo,Fornecedor,Luminância Média,Fator de Uniformidade,Uniformidade Longitudinal,Iluminância Média,Iluminância mínima horizontal E (lux),Potencia simulada - IP Principal (W),arquivo_origem
2.0,8.5,0.0,4.5,5.0,0.0,8.2,2.5,27.3,0.2,,C1,Braço,Unilateral,,LEDSTAR,,0.56,,31.07,4.38,120.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,8.5,0.0,4.5,5.0,0.0,8.2,2.5,27.3,0.2,,C1,Braço,Unilateral,,SX LIGHTING,,0.51,,30.54,13.59,120.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,8.5,0.0,4.5,5.0,0.0,8.2,2.5,27.3,0.2,,C1,Braço,Unilateral,Longo II,TECNOWATT,,0.61,,31.49,7.92,120.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,8.4,0.0,3.0,3.0,0.0,7.3,0.5,55.8,0.3,,C1,Braço,Bilateral alternada,Longo II,LEDSTAR,,0.58,,29.88,0.63,120.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,8.4,0.0,3.0,3.0,0.0,7.3,0.5,55.8,0.3,,C1,Braço,Bilateral alternada,Longo I,SX LIGHTING,,0.6,,36.76,0.63,120.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,8.4,0.0,3.0,3.0,0.0,7.3,0.5,55.8,0.3,,C1,Braço,Bilateral alternada,Longo II,TECNOWATT,,0.64,,30.81,0.69,120.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,5.8,0.0,1.2,1.2,0.0,8.1,2.5,25.6,0.3,,C5,Braço,Unilateral,,LEDSTAR,,0.59,,8.56,5.58,28.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,5.8,0.0,1.2,1.2,0.0,8.1,2.5,25.6,0.3,,C5,Braço,Unilateral,,SX LIGHTING,,0.72,,10.55,9.07,31.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,5.8,0.0,1.2,1.2,0.0,8.1,2.5,25.6,0.3,,C5,Braço,Unilateral,,TECNOWATT,,0.68,,10.71,8.58,30.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,3.0,3.0,0.0,6.8,1.3,33.9,0.2,,C5,Braço,Unilateral,,LEDSTAR,,0.37,,9.47,2.18,35.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,3.0,3.0,0.0,6.8,1.3,33.9,0.2,,C5,Braço,Unilateral,,SX LIGHTING,,0.37,,9.14,1.1,31.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,3.0,3.0,0.0,6.8,1.3,33.9,0.2,,C5,Braço,Unilateral,,TECNOWATT,,0.46,,9.0,2.47,30.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,0.0,3.0,7.5,7.0,1.3,35.3,3.1,,C5,Braço,Canteiro central,,LEDSTAR,,0.38,,8.17,,35.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,0.0,3.0,7.5,7.0,1.3,35.3,3.1,,C5,Braço,Canteiro central,,SX LIGHTING,,0.51,,8.91,,39.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,0.0,3.0,7.5,7.0,1.3,35.3,3.1,,C5,Braço,Canteiro central,,TECNOWATT,,0.4,,10.28,,40.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,6.9,0.0,3.0,3.0,0.0,7.0,1.3,32.2,0.6,,C5,Braço,Unilateral,,LEDSTAR,,0.44,,9.65,2.89,35.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,6.9,0.0,3.0,3.0,0.0,7.0,1.3,32.2,0.6,,C5,Braço,Unilateral,,SX LIGHTING,,0.52,,9.31,1.97,31.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,6.9,0.0,3.0,3.0,0.0,7.0,1.3,32.2,0.6,,C5,Braço,Unilateral,,TECNOWATT,,0.57,,9.15,3.38,30.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.0,0.0,0.0,7.0,2.5,33.5,0.2,,C4,Braço,Unilateral,,LEDSTAR,,0.35,,11.28,3.01,44.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.0,0.0,0.0,7.0,2.5,33.5,0.2,,C4,Braço,Unilateral,,SX LIGHTING,,0.42,,10.76,2.61,39.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.0,0.0,0.0,7.0,2.5,33.5,0.2,,C4,Braço,Unilateral,,TECNOWATT,,0.39,,12.28,2.85,40.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,3.5,3.5,0.0,7.5,1.3,29.5,0.4,,C5,Braço,Unilateral,,LEDSTAR,,0.51,,7.76,2.9,28.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,3.5,3.5,0.0,7.5,1.3,29.5,0.4,,C5,Braço,Unilateral,,SX LIGHTING,,0.73,,9.66,3.23,31.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,3.5,3.5,0.0,7.5,1.3,29.5,0.4,,C5,Braço,Unilateral,,TECNOWATT,,0.66,,9.57,4.09,30.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,5.8,0.0,1.2,1.2,0.0,8.1,2.5,25.7,1.4,,C5,Braço,Unilateral,,LEDSTAR,,0.62,,8.63,4.84,28.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,5.8,0.0,1.2,1.2,0.0,8.1,2.5,25.7,1.4,,C5,Braço,Unilateral,,SX LIGHTING,,0.79,,10.73,7.15,31.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,5.8,0.0,1.2,1.2,0.0,8.1,2.5,25.7,1.4,,C5,Braço,Unilateral,,TECNOWATT,,0.75,,10.83,6.9,30.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.3,32.1,0.5,,C5,Braço,Unilateral,,LEDSTAR,,0.41,,7.5,2.44,28.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.3,32.1,0.5,,C5,Braço,Unilateral,,SX LIGHTING,,0.51,,9.34,2.25,31.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.3,32.1,0.5,,C5,Braço,Unilateral,,TECNOWATT,,0.57,,9.18,3.64,30.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,3.0,3.0,0.0,7.0,1.3,32.6,0.5,,C5,Braço,Unilateral,,LEDSTAR,,0.43,,9.53,2.73,35.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,3.0,3.0,0.0,7.0,1.3,32.6,0.5,,C5,Braço,Unilateral,,SX LIGHTING,,0.49,,9.2,1.77,31.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,3.0,3.0,0.0,7.0,1.3,32.6,0.5,,C5,Braço,Unilateral,,TECNOWATT,,0.55,,9.04,3.17,30.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,10.0,0.0,4.5,4.5,0.0,7.5,1.3,37.7,0.3,,C4,Braço,Unilateral,,LEDSTAR,,0.29,,12.52,3.1,65.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,10.0,0.0,4.5,4.5,0.0,7.5,1.3,37.7,0.3,,C4,Braço,Unilateral,,SX LIGHTING,,0.42,,11.34,0.84,50.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,10.0,0.0,4.5,4.5,0.0,7.5,1.3,37.7,0.3,,C4,Braço,Unilateral,,TECNOWATT,,0.4,,12.21,1.05,60.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.3,1.3,35.1,0.3,,C5,Braço,Unilateral,,LEDSTAR,,0.4,,8.62,2.45,35.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.3,1.3,35.1,0.3,,C5,Braço,Unilateral,,SX LIGHTING,,0.42,,8.32,1.68,31.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.3,1.3,35.1,0.3,,C5,Braço,Unilateral,,TECNOWATT,,0.5,,8.23,2.85,30.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.5,0.0,3.5,3.5,0.0,7.0,1.3,40.4,0.4,,C5,Braço,Unilateral,,LEDSTAR,,0.26,,7.57,1.03,35.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.5,0.0,3.5,3.5,0.0,7.0,1.3,40.4,0.4,,C5,Braço,Unilateral,,SX LIGHTING,,0.3,,8.55,1.03,39.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.5,0.0,3.5,3.5,0.0,7.0,1.3,40.4,0.4,,C5,Braço,Unilateral,,TECNOWATT,,0.17,,9.48,0.7,40.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.3,39.8,0.3,,C5,Braço,Unilateral,,LEDSTAR,,0.26,,7.86,1.31,35.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.3,39.8,0.3,,C5,Braço,Unilateral,,SX LIGHTING,,0.3,,8.9,1.41,39.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.3,39.8,0.3,,C5,Braço,Unilateral,,TECNOWATT,,0.19,,10.03,1.35,40.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.1,1.3,41.5,0.3,,C5,Braço,Unilateral,,LEDSTAR,,0.27,,8.87,1.8,44.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.1,1.3,41.5,0.3,,C5,Braço,Unilateral,,SX LIGHTING,,0.27,,8.44,1.18,39.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.1,1.3,41.5,0.3,,C5,Braço,Unilateral,,TECNOWATT,,0.17,,11.24,1.11,50.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,5.0,0.0,4.0,0.0,0.0,7.0,1.3,42.4,5.0,,C1,Braço,Unilateral,,LEDSTAR,,0.36,,32.11,9.22,200.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,5.0,0.0,4.0,0.0,0.0,7.0,1.3,42.4,5.0,,C1,Braço,Unilateral,,SX LIGHTING,,0.51,,31.55,33.51,90.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,5.0,0.0,4.0,0.0,0.0,7.0,1.3,42.4,5.0,,C1,Braço,Unilateral,,TECNOWATT,,0.37,,34.91,9.566,120.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
1.0,3.5,0.0,1.5,1.5,0.0,7.0,1.3,26.0,0.5,,C5,Braço,Unilateral,,LEDSTAR,,0.52,,10.06,4.55,28.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
1.0,3.5,0.0,1.5,1.5,0.0,7.0,1.3,26.0,0.5,,C5,Braço,Unilateral,,SX LIGHTING,,0.66,,8.37,4.59,22.5,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
1.0,3.5,0.0,1.5,1.5,0.0,7.0,1.3,26.0,0.5,,C5,Braço,Unilateral,,TECNOWATT,,0.66,,12.72,6.94,30.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,6.3,0.0,0.0,0.0,0.0,7.0,1.3,19.8,4.2,,C5,Braço,Unilateral,,LEDSTAR,,0.53,,8.93,,28.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,6.3,0.0,0.0,0.0,0.0,7.0,1.3,19.8,4.2,,C5,Braço,Unilateral,,SX LIGHTING,,0.34,,10.36,,31.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,6.3,0.0,0.0,0.0,0.0,7.0,1.3,19.8,4.2,,C5,Braço,Unilateral,,TECNOWATT,,0.43,,9.72,,30.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.0,0.0,7.0,1.3,35.5,0.3,,C5,Suporte,Unilateral,,LEDSTAR,,0.36,,8.82,2.16,35.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.0,0.0,7.0,1.3,35.5,0.3,,C5,Suporte,Unilateral,,SX LIGHTING,,0.35,,8.52,1.23,31.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.0,0.0,7.0,1.3,35.5,0.3,,C5,Suporte,Unilateral,,TECNOWATT,,0.44,,8.39,2.49,30.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,6.7,1.0,36.5,0.3,,C5,Braço,Unilateral,,LEDSTAR,,0.3,,8.76,1.74,35.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,6.7,1.0,36.5,0.3,,C5,Braço,Unilateral,,SX LIGHTING,,0.26,,8.43,0.78,31.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,6.7,1.0,36.5,0.3,,C5,Braço,Unilateral,,TECNOWATT,,0.35,,8.26,1.95,30.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,10.0,0.0,4.5,4.5,0.0,7.5,2.5,43.0,0.3,,C4,Braço,Unilateral,,LEDSTAR,,0.24,,11.71,1.83,65.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,10.0,0.0,4.5,4.5,0.0,7.5,2.5,43.0,0.3,,C4,Braço,Unilateral,,SX LIGHTING,,0.26,,15.21,2.56,70.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,10.0,0.0,4.5,4.5,0.0,7.5,2.5,43.0,0.3,,C4,Braço,Unilateral,,TECNOWATT,,0.17,,11.4,0.6,60.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,10.0,0.0,4.5,4.5,0.0,7.5,2.5,33.3,0.3,,C4,Braço,Unilateral,,LEDSTAR,,0.42,,11.59,2.77,52.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,10.0,0.0,4.5,4.5,0.0,7.5,2.5,33.3,0.3,,C4,Braço,Unilateral,,SX LIGHTING,,0.53,,13.7,1.78,50.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,10.0,0.0,4.5,4.5,0.0,7.5,2.5,33.3,0.3,,C4,Braço,Unilateral,,TECNOWATT,,0.52,,10.2,1.33,40.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.3,31.15,1.0,,C5,Braço,Unilateral,,LEDSTAR,,0.41,,7.55,2.79,28.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.3,31.15,1.0,,C5,Braço,Unilateral,,SX LIGHTING,,0.55,,9.34,3.1,31.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.3,31.15,1.0,,C5,Braço,Unilateral,,TECNOWATT,,0.56,,9.15,4.36,30.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.5,1.3,21.0,0.3,,C5,Braço,Unilateral,,LEDSTAR,,0.67,,10.94,6.24,28.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.5,1.3,21.0,0.3,,C5,Braço,Unilateral,,SX LIGHTING,,0.8,,9.16,5.38,22.5,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.5,1.3,21.0,0.3,,C5,Braço,Unilateral,,TECNOWATT,,0.73,,13.5,7.79,30.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,8.5,0.0,0.0,4.0,3.0,8.0,2.5,27.1,2.5,,C1,Braço,Canteiro central,,LEDSTAR,,0.45,,31.24,,100.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,8.5,0.0,0.0,4.0,3.0,8.0,2.5,27.1,2.5,,C1,Braço,Canteiro central,,SX LIGHTING,,0.51,,32.23,,90.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,8.5,0.0,0.0,4.0,3.0,8.0,2.5,27.1,2.5,,C1,Braço,Canteiro central,,TECNOWATT,,0.47,,30.74,,100.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,8.0,0.0,0.0,4.0,10.0,2.5,2.5,43.2,5.0,,C1,Braço,Canteiro central,Longo I,LEDSTAR,,0.37,,30.97,15.06,200.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,8.0,0.0,0.0,4.0,10.0,2.5,2.5,43.2,5.0,,C1,Braço,Canteiro central,,SX LIGHTING,,0.6,,29.99,27.28,90.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,8.0,0.0,0.0,4.0,10.0,2.5,2.5,43.2,5.0,,C1,Braço,Canteiro central,,TECNOWATT,,0.49,,35.13,32.0,120.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.5,35.2,0.3,,C4,Braço,Unilateral,,LEDSTAR,,0.36,,10.63,2.87,44.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.5,35.2,0.3,,C4,Braço,Unilateral,,SX LIGHTING,,0.44,,10.14,2.56,39.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.5,35.2,0.3,,C4,Braço,Unilateral,,TECNOWATT,,0.36,,11.46,2.73,40.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
