Faixas de Rodagem,Largura Via 1,Largura Via 2,Largura Passeio 1,largura Passeio 2,largura Canteiro Central,altura da luminaria,projecao do braço,distancia entre postes,distancia Poste a via,Classificação viária,Tipo de estrutura,posteacao,Braço Novo,Fornecedor,Luminância Média,Fator de Uniformidade,Uniformidade Longitudinal,Iluminância Média,Iluminância mínima horizontal E (lux),Potencia simulada - IP Principal (W),arquivo_origem,tem_cpe
2.0,7.0,,1.7,1.7,,7.8,2.7,37.8,0.4,C1,Braço,Canteiro central,,LEDSTAR,,0.54,,30.75,10.26,100.0,ARMBH01.2 - Base de Simulações.xlsx,0
2.0,7.0,,1.7,1.7,,7.8,2.7,37.8,0.4,C1,Braço,Canteiro central,,SX LIGHTING,,0.49,,31.92,9.05,90.0,ARMBH01.2 - Base de Simulações.xlsx,0
2.0,7.0,,1.7,1.7,,7.8,2.7,37.8,0.4,C1,Braço,Canteiro central,,TECNOWATT,,0.43,,35.29,11.24,120.0,ARMBH01.2 - Base de Simulações.xlsx,0
2.0,8.5,,1.8,1.8,,8.0,3.3,35.3,1.0,C1,Braço,Unilateral,,LEDSTAR,,0.41,,31.82,13.55,140.0,ARMBH01.2 - Base de Simulações.xlsx,0
2.0,8.5,,1.8,1.8,,8.0,3.3,35.3,1.0,C1,Braço,Unilateral,,SX LIGHTING,,0.49,,32.62,11.33,137.0,ARMBH01.2 - Base de Simulações.xlsx,0
2.0,8.5,,1.8,1.8,,8.0,3.3,35.3,1.0,C1,Braço,Unilateral,,TECNOWATT,,0.53,,32.51,15.75,150.0,ARMBH01.2 - Base de Simulações.xlsx,0
2.0,6.5,,1.5,1.5,,7.6,3.2,37.3,3.0,C2,Braço,Unilateral,,LEDSTAR,,0.28,,23.46,2.29,100.0,ARMBH01.2 - Base de Simulações.xlsx,0
2.0,6.5,,1.5,1.5,,7.6,3.2,37.3,3.0,C2,Braço,Unilateral,,SX LIGHTING,,0.43,,22.91,3.95,90.0,ARMBH01.2 - Base de Simulações.xlsx,0
2.0,6.5,,1.5,1.5,,7.6,3.2,37.3,3.0,C2,Braço,Unilateral,,TECNOWATT,,0.39,,21.31,6.58,100.0,ARMBH01.2 - Base de Simulações.xlsx,0
1.0,9.2,,1.6,1.6,,8.5,2.9,25.3,0.15,C2,Braço,Unilateral,,LEDSTAR,,0.64,,21.01,9.75,72.0,ARMBH01.2 - Base de Simulações.xlsx,0
